policy_id,policy_name,summary,district,source,detail_url
20260410005400212663,2026 서울 동아리ON(대학생 동아리 지원),서울시 대학생 동아리를 대상으로 사회 기여 활동을 위한 활동비를 지원하여 동아리 활동 활성화를 통한 사회적 관계 회복과 함께 지역 사회 문제 해결에 기여할 수 있도록 지원하는 사업,,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260410005400212663&tabKind=001
20260220005400212095,청년 일자리사업 참여청년 모집,지역기반 기업에서 일경험과 경력 형성을 지원,은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260220005400212095&tabKind=001
20260126005400212081,청년 일자리사업 참여기업 모집,청년의 일 경험 및 직무역량 향상을 도모하고 기업에는 청년 인재 채용의 기회 제공,은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20260126005400212081&tabKind=001
20250915005400211692,IFWY 2025 한국 지역 대화 참가자 모집,"청년들이 지속가능한 미래를 위한 행동과 연대를 실현할 수 있는 글로벌 플랫폼으로 청년 간 토론, 예술, 문화 교류의 장",은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250915005400211692&tabKind=001
20250827005400211523,제3회 은평청년축제 <청년톡톡콘서트> 개최,청년의 날을 기념하여 청년들이 직접 기획하고 구민 모두가 참여하는 축제를 개최,은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250827005400211523&tabKind=001
20250827005400211522,제3회 은평청년축제(부제 : 아무도 모르는 축제) 개최,청년의 날을 기념하여 청년들이 직접 기획하고 구민 모두가 참여하는 축제를 개최,은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250827005400211522&tabKind=001
20250822005400211521,신월지역 청년점포 및 청년기업 육성사업 참여자 추가모집 공고,"청년 실업 해소와 지역상권 활성화를 위한 창업지원 정책으로, 창업을 준비하는 청년의 초기 창업비용 일부 지원",,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250822005400211521&tabKind=001
20250819005400211519,2025. 「은평 청년 버스킹 페스타」 청년판정단 모집,"지역의 청년모임을 대상으로한 버스킹 경연을 통하여 청년들의 지역활동 참여 및 재능발현의 장을 마련하고, 지역 상권을 이용하는 주민들에게 공연을 제공하여 청년과 지역사회간의 연대감을 강화",은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250819005400211519&tabKind=001
20250819005400211518,2025. 「은평 청년 버스킹 페스타」 참가자 모집,"지역의 청년모임을 대상으로한 버스킹 경연을 통하여 청년들의 지역활동 참여 및 재능발현의 장을 마련하고, 지역 상권을 이용하는 주민들에게 공연을 제공하여 청년과 지역사회간의 연대감을 강화",은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250819005400211518&tabKind=001
20250806005400211515,청년 일자리사업 참여청년 모집,지역기반 기업에서 일경험과 경력 형성을 지원하기 위하여 청년 일자리 사업 참여 청년 모집,은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250806005400211515&tabKind=001
20250729005400211499,청년 창업점포(청년식당) 신규 입점 청년 모집,청년 창업자의 도전을 장려하여 청년사업가를 육성하고 일자리 창출 및 지역경제 활성화를 위한 청년 창업점포 입점 청년 모집,은평구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250729005400211499&tabKind=001
20250424005400210720,강동구 미취업 청년 어학 및 자격시험 응시료 지원,강동구 미취업 청년들에게 어학 및 자격시험 응시료를 지원하여 취업 준비에 대한 경제적 부담 완화 및 취업역량 강화를 통해 청년들의 적극적인 구직활동 촉진에 기여하고자 함,강동구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250424005400210720&tabKind=001
20250224005400210564,"금천형 취업성공키트(자격시험 준비비, 면접 준비비, 문화비 지원)","금천구 미취업 청년들에게 구직활동에 필요한 자격증 시험 응시료, 수강료 및 면접 준비비와 취업스트레스 완화를 위한 문화힐링비 지원",금천구,자치구,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250224005400210564&tabKind=001
